query,title,url,author,points,comments,created,hn_url
"web scraping","Congrats! Web scraping is legal! (US precedent)","https://parsers.me/us-court-fully-legalized-website-scraping-and-technically-prohibited-it/","ehurynovich",1057,388,"2020-01-29T14:06:37Z","https://news.ycombinator.com/item?id=22180559"
"web scraping","Web scraping is legal, US appeals court reaffirms","https://techcrunch.com/2022/04/18/web-scraping-legal-court/","spenvo",1040,237,"2022-04-18T19:37:55Z","https://news.ycombinator.com/item?id=31075396"
"indie hacker","IndieHackers.com acquired by Stripe","https://www.indiehackers.com/blog/acquired-by-stripe","ploggingdev",1000,235,"2017-04-11T17:06:18Z","https://news.ycombinator.com/item?id=14090063"
"indie hacker","Indie Hackers: Learn how developers are making money","https://www.indiehackers.com","csallen",971,184,"2016-08-11T16:12:36Z","https://news.ycombinator.com/item?id=12269425"
"web scraping","Web Scraping in 2016","https://franciskim.co/2016/08/24/dont-need-no-stinking-api-web-scraping-2016-beyond/","franciskim",852,387,"2016-08-23T17:43:49Z","https://news.ycombinator.com/item?id=12345693"
"AI startup","Yann LeCun to depart Meta and launch AI startup focused on 'world models'","https://www.nasdaq.com/articles/metas-chief-ai-scientist-yann-lecun-depart-and-launch-ai-start-focused-world-models","MindBreaker2605",841,653,"2025-11-12T07:25:30Z","https://news.ycombinator.com/item?id=45897271"
"AI startup","OpenAI to buy AI startup from Jony Ive","https://www.bloomberg.com/news/articles/2025-05-21/openai-to-buy-apple-veteran-jony-ive-s-ai-device-startup-in-6-5-billion-deal","minimaxir",818,1126,"2025-05-21T17:01:35Z","https://news.ycombinator.com/item?id=44053518"
"bluesky","When imperfect systems are good: Bluesky's lossy timelines","https://jazco.dev/2025/02/19/imperfection/","cyndunlop",785,304,"2025-02-19T17:48:08Z","https://news.ycombinator.com/item?id=43105028"
"bluesky","Bluesky announces data federation for self hosters","https://bsky.social/about/blog/02-22-2024-open-social-web","jakebsky",760,449,"2024-02-22T18:30:44Z","https://news.ycombinator.com/item?id=39471116"
"bluesky","This website is hosted on Bluesky","https://danielmangum.com/posts/this-website-is-hosted-on-bluesky/","hasheddan",713,168,"2024-11-24T20:43:33Z","https://news.ycombinator.com/item?id=42230392"
"AI startup","Andreessen-Horowitz craps on “AI” startups from a great height","https://scottlocklin.wordpress.com/2020/02/21/andreesen-horowitz-craps-on-ai-startups-from-a-great-height/","dostoevsky",695,244,"2020-02-24T20:31:09Z","https://news.ycombinator.com/item?id=22408107"
"automation tool","GitHub launches Actions, its workflow automation tool","https://techcrunch.com/2018/10/16/github-launches-actions-its-workflow-automation-tool/","moritzplassnig",642,145,"2018-10-16T17:08:24Z","https://news.ycombinator.com/item?id=18231097"
"indie hacker","Things I’ve Learned from Reading IndieHackers","http://www.toomas.net/2017/07/18/reverse-engineering-a-successful-lifestyle-business-heres-everything-ive-learned-from-reading-indiehackers-com/","scribu",611,153,"2017-07-19T11:17:08Z","https://news.ycombinator.com/item?id=14803468"
"bluesky","The Bluesky firehose viewed in the style of a Windows XP screensaver","https://firehose3d.theo.io/","consumer451",602,149,"2024-11-16T22:07:58Z","https://news.ycombinator.com/item?id=42159786"
"web scraping","Web scraping for me, but not for thee","https://blog.ericgoldman.org/archives/2023/08/web-scraping-for-me-but-not-for-thee-guest-blog-post.htm","mhb",582,152,"2023-08-25T17:42:23Z","https://news.ycombinator.com/item?id=37264676"
"MCP server","MCP server that reduces Claude Code context consumption by 98%","https://mksg.lu/blog/context-mode","mksglu",570,107,"2026-02-28T10:01:20Z","https://news.ycombinator.com/item?id=47193064"
"web scraping","Web Scraping: Bypassing “403 Forbidden,” captchas, and more","http://sangaline.com/post/advanced-web-scraping-tutorial/","foob",564,225,"2017-03-16T12:14:01Z","https://news.ycombinator.com/item?id=13884357"
"bluesky","Adobe deletes Bluesky posts after backlash","https://petapixel.com/2025/04/10/adobe-deletes-bluesky-posts-after-furious-backlash/","bookofjoe",554,728,"2025-04-11T14:01:06Z","https://news.ycombinator.com/item?id=43653885"
"bluesky","Show HN: I made a tool to port tweets to Bluesky mantaining their original date","https://bluemigrate.com","nols05",524,213,"2025-03-18T17:07:39Z","https://news.ycombinator.com/item?id=43401855"
"web scraping","Ask HN: What are best tools for web scraping?","","pydox",502,228,"2017-11-14T11:13:39Z","https://news.ycombinator.com/item?id=15694118"
"automation tool","Apple has acquired Workflow, an automation tool for iPad and iPhone","https://techcrunch.com/2017/03/22/apple-has-acquired-workflow-a-powerful-automation-tool-for-ipad-and-iphone/","gerosan",499,147,"2017-03-22T23:41:24Z","https://news.ycombinator.com/item?id=13936153"
"bluesky","Maybe Bluesky has ""won""","https://anderegg.ca/2024/11/15/maybe-bluesky-has-won","GavinAnderegg",461,793,"2024-11-15T19:56:21Z","https://news.ycombinator.com/item?id=42150278"
"freelance developer","Ask HN: How do I get freelance developer jobs?","","jamesmp98",433,108,"2016-12-18T19:53:28Z","https://news.ycombinator.com/item?id=13207268"
"web scraping","Web Scraping Is Vital to Democracy","https://themarkup.org/news/2020/12/03/why-web-scraping-is-vital-to-democracy","atg_abhishek",426,121,"2020-12-04T03:55:37Z","https://news.ycombinator.com/item?id=25298697"
"bluesky","Brazil's X ban is sending lots of people to Bluesky","https://www.theverge.com/2024/8/30/24232561/brazil-x-ban-sending-people-bluesky","rvz",420,743,"2024-08-31T13:28:25Z","https://news.ycombinator.com/item?id=41408738"
"AI startup","U.S. widens trade blacklist to include some of China’s top AI startups","https://www.reuters.com/article/us-usa-trade-china-exclusive/u-s-expands-blacklist-to-include-chinas-top-ai-startups-ahead-of-trade-talks-idUSKBN1WM25M","nwrk",419,335,"2019-10-08T18:01:57Z","https://news.ycombinator.com/item?id=21195107"
"AI startup","Yann LeCun's AI startup raises $1B in Europe's largest ever seed round","https://www.ft.com/content/e5245ec3-1a58-4eff-ab58-480b6259aaf1","ottomengis",418,2,"2026-03-10T10:50:30Z","https://news.ycombinator.com/item?id=47321533"
"AI startup","AI startup claims to automate app making but actually just uses humans","https://www.theverge.com/2019/8/14/20805676/engineer-ai-artificial-intelligence-startup-app-development-outsourcing-humans","smohnot",410,289,"2019-08-15T15:41:36Z","https://news.ycombinator.com/item?id=20706174"
"automation tool","Ask HN: What automation tools have you used to replace mundane activities?","","beatthatflight",408,229,"2020-02-17T02:35:21Z","https://news.ycombinator.com/item?id=22345150"
"bluesky","Bluesky CEO Jay Graber is stepping down","https://bsky.social/about/blog/03-09-2026-a-new-chapter-for-bluesky","minimaxir",403,372,"2026-03-09T19:09:03Z","https://news.ycombinator.com/item?id=47313884"
"web scraping","How Web Scraping Is Revealing Lobbying and Corruption in Peru","https://blog.scrapinghub.com/2016/03/09/how-web-scraping-is-revealing-lobbying-and-corruption-in-peru/","bezzi",398,72,"2016-03-09T21:50:00Z","https://news.ycombinator.com/item?id=11255973"
"web scraping","Web Scraping 101 with Python","https://www.scrapingbee.com/blog/web-scraping-101-with-python/","daolf",392,131,"2021-02-10T15:17:58Z","https://news.ycombinator.com/item?id=26090243"
"bluesky","A new form of verification on Bluesky","https://bsky.social/about/blog/04-21-2025-verification","ink_13",384,296,"2025-04-21T16:16:51Z","https://news.ycombinator.com/item?id=43753651"
"bluesky","Building Bluesky comments for my blog","https://natalie.sh/posts/bluesky-comments/","g0xA52A2A",382,141,"2025-08-07T15:56:01Z","https://news.ycombinator.com/item?id=44826164"
"web scraping","Web Scraping in Python – The Complete Guide","https://proxiesapi.com/articles/web-scraping-in-python-the-complete-guide","anticlickwise",378,146,"2024-02-20T15:16:47Z","https://news.ycombinator.com/item?id=39442273"
"web scraping","Web scraping with GPT-4o: powerful but expensive","https://blancas.io/blog/ai-web-scraper/","edublancas",377,167,"2024-09-02T19:50:53Z","https://news.ycombinator.com/item?id=41428274"
"web scraping","Introduction to web scraping with Python","https://datawhatnow.com/introduction-web-scraping-python/","weenkus",373,60,"2017-10-24T06:17:37Z","https://news.ycombinator.com/item?id=15539621"
